Player Name	Team	Specialism	Base Price (₹ Cr)	Country	Capped/Uncapped
Himmat Singh	LSG	BAT	0.3	India	Uncapped (Hindustan Times)
Swastik Chikara	RCB	BAT	0.3	India	Uncapped (Hindustan Times)
Krishnan Shrijith	MI	BAT	0.3	India	Uncapped (IPL T20)
Shubham Dubey	RR	BAT	0.3	India	Uncapped (IPL T20)
Harnoor Singh	PBKS	BAT	0.3	India	Uncapped (IPL T20, CricClubs Blog)
Matthew Breetzke	LSG	BAT	0.75	South Africa	Uncapped (Rediff)
Sachin Baby	SRH	BAT	0.3	India	Uncapped (Rediff)
Vaibhav Suryavanshi	RR	BAT	1.1	India	Uncapped (The Times of India, Rediff)
Kunal Singh Rathore	RR	BAT	0.3	India	Uncapped (Wikipedia)
Abhinav Manohar	SRH	BAT	0.3	India	Uncapped (Wikipedia)
Kumar Kushagra	GT	BAT	0.3	India	Uncapped (Wikipedia, ESPN Cricinfo)
Bevon Jacobs	MI	BAT	0.3	South Africa*	Uncapped (X (formerly Twitter), X (formerly Twitter))
Mukesh Kumar	DC	BOWL	2.0	India	Capped
Mohit Sharma	DC	BOWL	0.5	India	Capped
T Natarajan	DC	BOWL	2.0	India	Capped
Mitchell Starc	DC	BOWL	2.0	Australia	Capped
Kuldeep Yadav	DC	BOWL	2.0	India	Capped
Kulwant Khejroliya	GT	BOWL	0.3	India	Capped
Prasidh Krishna	GT	BOWL	2.0	India	Capped
Mohammed Siraj	GT	BOWL	2.0	India	Capped
Kagiso Rabada	GT	BOWL	2.0	South Africa	Capped
Rashid Khan	GT	BOWL	2.0	Afghanistan	Capped
Umran Malik	KKR	BOWL	0.75	India	Capped
Anrich Nortje	KKR	BOWL	2.0	South Africa	Capped
Sunil Narine	KKR	BOWL	2.0	West Indies	Capped
Akash Deep	LSG	BOWL	1.0	India	Capped
Shamar Joseph	LSG	BOWL	0.75	West Indies	Capped
Avesh Khan	LSG	BOWL	2.0	India	Capped
Ravi Bishnoi	LSG	BOWL	2.0	India	Capped
Lizaad Williams	MI	BOWL	0.75	South Africa	Capped
Allah Ghazanfar	MI	BOWL	0.75	Afghanistan	Capped
Deepak Chahar	MI	BOWL	2.0	India	Capped
Jasprit Bumrah	MI	BOWL	2.0	India	Capped
Lockie Ferguson	PBKS	BOWL	2.0	New Zealand	Capped
Yuzvendra Chahal	PBKS	BOWL	2.0	India	Capped
Arshdeep Singh	PBKS	BOWL	2.0	India	Capped
Nuwan Thushara	RCB	BOWL	0.75	Sri Lanka	Capped
Josh Hazlewood	RCB	BOWL	2.0	Australia	Capped
Bhuvneshwar Kumar	RCB	BOWL	2.0	India	Capped
Lungi Ngidi	RCB	BOWL	1.0	South Africa	Capped
Wanindu Hasaranga	RR	BOWL	2.0	Sri Lanka	Capped
Maheesh Theekshana	RR	BOWL	2.0	Sri Lanka	Capped
Jofra Archer	RR	BOWL	2.0	England	Capped
Sandeep Sharma	RR	BOWL	2.0	India	Capped
Jaydev Unadkat	SRH	BOWL	1.0	India	Capped
Adam Zampa	SRH	BOWL	2.0	Australia	Capped
Rahul Chahar	SRH	BOWL	1.0	India	Capped
Mohammed Shami	SRH	BOWL	2.0	India	Capped
Shreyas Gopal	CSK	BOWL	0.3	India	Capped 
Gerald Coetzee	GT	BOWL	1.25	South Africa	Capped 
Dushmantha Chameera	DC	BOWL	0.75	Sri Lanka	Capped
Karn Sharma	MI	BOWL	0.5	India	Capped
Nathan Ellis	CSK	BOWL	1.25	Australia	Capped 
Akash Singh	LSG	BOWL	0.3	India	Capped 
Reece Topley	MI	BOWL	0.75	England	Capped 
Kuldeep Sen	PBKS	BOWL	0.75	India	Capped 
Kwena Maphaka	RR	BOWL	0.75	South Africa	Capped 
Fazalhaq Farooqi	RR	BOWL	2.0	Afghanistan	Capped 
Mayank Markande	KKR	BOWL	0.3	India	Capped
Trent Boult	MI	BOWL	2.0	New Zealand	Capped 
Simarjeet Singh	SRH	BOWL	0.3	India	Capped 
Vaibhav Arora	KKR	BOWL	0.3	India	Capped 
Tushar Deshpande	RR	BOWL	1.0	India	Capped 
Noor Ahmad	CSK	BOWL	2.0	Afghanistan	Capped 
Yash Thakur	PBKS	BOWL	0.4	India	Capped 
Matheesha Pathirana	CSK	BOWL	2.0	Sri Lanka	Uncapped
Harshit Rana	KKR	BOWL	2.0	India	Uncapped
Mayank Yadav	LSG	BOWL	2.0	India	Uncapped
Mohsin Khan	LSG	BOWL	2.0	India	Uncapped
Vignesh Puthur	MI	BOWL	0.3	India	Uncapped
Abhinandan Singh	RCB	BOWL	0.3	India	Uncapped
Rasikh Salam	RCB	BOWL	0.3	India	Uncapped
Yash Dayal	RCB	BOWL	2.0	India	Uncapped
Akash Madhwal	RR	BOWL	0.3	India	Uncapped
Ashok Sharma	RR	BOWL	0.3	India	Uncapped
Khaleel Ahmed	CSK	BOWL	2.0	India	Uncapped 
Gurnoor Brar	GT	BOWL	0.3	India	Uncapped 
Manimaran Siddharth	LSG	BOWL	0.3	India	Uncapped 
Suyash Sharma	RCB	BOWL	0.3	India	Uncapped 
Mukesh Choudhary GT	BOWL	0.3	India	Uncapped 
Prince Yadav	LSG	BOWL	0.3	India	Uncapped 
Digvesh Rathi	LSG	BOWL	0.3	India	Uncapped 
Ashwani Kumar	MI	BOWL	0.3	India	Uncapped 
Xavier Bartlett	PBKS	BOWL	0.75	Australia	Uncapped 
Zeeshan Ansari	SRH	BOWL	0.3	India	Uncapped
Satyanarayana Raju	MI	BOWL	0.3	India	Uncapped 
Ishant Sharma	GT	BOWL	0.75	India	Uncapped
Arjun Tendulkar	MI	BOWL	0.3	India	Uncapped 
Eshan Malinga	SRH	BOWL	1.2	India	Uncapped 
Manav Suthar	GT	BOWL	0.3	India	Uncapped 
Gurjapneet Singh	CSK	BOWL	0.3	India	Uncapped 
Kumar Kartikeya	RR	BOWL	0.3	India	Uncapped 
Vijaykumar Vyshak	PBKS	BOWL	0.3	India	Uncapped
Dewald Brevis    CSK    BAT   2  South Africa     Uncapped
Mustafizur Rahman 	DC	BOWL	1	Bangladesh	Capped
Urvil Patel	CSK	BAT	0.3	India	Uncapped
Corbin Bosch	MI	BOWL	0.5	South Africa	Capped
Richard Gleeson	MI	BOWL	0.5	England	Capped
Jonny Bairstow	MI	BOWL	2	England	Capped
Will Jacks	MI	AR	1	England	Capped
Mayank Agarwal	RCB	BAT	2	India	Capped
Tim David	RCB	BAT	2	Australia	Capped
Shardul Thakur	LSG	BOWL	2	India	Capped
william O'rourke	LSG	BOWL	1	New Zealand	Capped
